one,two,three,four,five,six,seven,eight,nine,ten,min,losses,draws,wins,WinRatio
0.0,2.0,7.0,0.0,0.0,22.0,3.0,1.0,33.0,32.0,0.0,960.0,63.0,2270.0,0.6893410264196781
0.0,2.0,8.0,10.0,2.0,22.0,18.0,26.0,6.0,6.0,0.0,992.0,32.0,2269.0,0.6890373519587003
1.0,1.0,1.0,15.0,15.0,0.0,0.0,0.0,34.0,33.0,0.0,999.0,27.0,2267.0,0.6884300030367446
1.0,1.0,11.0,14.0,18.0,22.0,1.0,1.0,1.0,30.0,1.0,1000.0,26.0,2267.0,0.6884300030367446
6.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,32.0,30.0,0.0,965.0,62.0,2266.0,0.6881263285757668
1.0,1.0,8.0,13.0,18.0,1.0,23.0,1.0,28.0,6.0,1.0,1002.0,26.0,2265.0,0.6878226541147889
0.0,5.0,7.0,12.0,11.0,22.0,2.0,32.0,2.0,7.0,0.0,996.0,32.0,2265.0,0.6878226541147889
0.0,0.0,2.0,2.0,17.0,18.0,27.0,3.0,4.0,27.0,0.0,980.0,49.0,2264.0,0.6875189796538111
1.0,1.0,5.0,16.0,19.0,1.0,1.0,1.0,31.0,24.0,1.0,993.0,36.0,2264.0,0.6875189796538111
0.0,0.0,2.0,2.0,17.0,18.0,27.0,3.0,4.0,27.0,0.0,980.0,49.0,2264.0,0.6875189796538111
0.0,1.0,10.0,0.0,2.0,1.0,20.0,29.0,6.0,31.0,0.0,1002.0,28.0,2263.0,0.6872153051928332
1.0,2.0,2.0,13.0,2.0,21.0,2.0,33.0,3.0,21.0,1.0,994.0,36.0,2263.0,0.6872153051928332
2.0,3.0,10.0,13.0,16.0,19.0,3.0,3.0,4.0,27.0,2.0,996.0,36.0,2261.0,0.6866079562708777
0.0,5.0,7.0,9.0,18.0,16.0,3.0,31.0,6.0,5.0,0.0,997.0,35.0,2261.0,0.6866079562708777
0.0,6.0,7.0,12.0,12.0,21.0,3.0,31.0,3.0,5.0,0.0,1003.0,30.0,2260.0,0.6863042818098998
0.0,6.0,7.0,12.0,12.0,21.0,3.0,31.0,3.0,5.0,0.0,1003.0,30.0,2260.0,0.6863042818098998
0.0,6.0,7.0,12.0,12.0,21.0,3.0,31.0,3.0,5.0,0.0,1003.0,30.0,2260.0,0.6863042818098998
0.0,6.0,7.0,12.0,12.0,21.0,3.0,31.0,3.0,5.0,0.0,1003.0,30.0,2260.0,0.6863042818098998
0.0,6.0,7.0,12.0,12.0,21.0,3.0,31.0,3.0,5.0,0.0,1003.0,30.0,2260.0,0.6863042818098998
0.0,6.0,7.0,12.0,12.0,21.0,3.0,31.0,3.0,5.0,0.0,1003.0,30.0,2260.0,0.6863042818098998
2.0,2.0,8.0,14.0,17.0,2.0,22.0,6.0,21.0,6.0,2.0,1003.0,32.0,2258.0,0.6856969328879441
0.0,1.0,2.0,3.0,16.0,19.0,22.0,5.0,6.0,26.0,0.0,961.0,74.0,2258.0,0.6856969328879441
0.0,2.0,11.0,11.0,16.0,3.0,21.0,5.0,26.0,5.0,0.0,981.0,55.0,2257.0,0.6853932584269663
0.0,5.0,7.0,12.0,12.0,21.0,3.0,32.0,3.0,5.0,0.0,1016.0,22.0,2255.0,0.6847859095050106
1.0,1.0,2.0,12.0,3.0,18.0,4.0,24.0,5.0,30.0,1.0,965.0,75.0,2253.0,0.6841785605830549
0.0,0.0,0.0,1.0,17.0,23.0,28.0,3.0,4.0,24.0,0.0,987.0,54.0,2252.0,0.6838748861220771
2.0,3.0,3.0,17.0,17.0,3.0,4.0,4.0,23.0,24.0,2.0,1013.0,29.0,2251.0,0.6835712116610994
0.0,0.0,11.0,15.0,18.0,22.0,0.0,0.0,0.0,34.0,0.0,1010.0,32.0,2251.0,0.6835712116610994
0.0,0.0,0.0,0.0,22.0,23.0,28.0,0.0,0.0,27.0,0.0,1037.0,6.0,2250.0,0.6832675372001215
0.0,0.0,0.0,0.0,18.0,24.0,26.0,0.0,0.0,32.0,0.0,1011.0,32.0,2250.0,0.6832675372001215
4.0,5.0,7.0,12.0,16.0,22.0,21.0,3.0,3.0,7.0,3.0,999.0,44.0,2250.0,0.6832675372001215
2.0,2.0,2.0,11.0,21.0,3.0,3.0,4.0,26.0,26.0,2.0,998.0,46.0,2249.0,0.6829638627391437
0.0,0.0,1.0,2.0,12.0,22.0,3.0,22.0,33.0,5.0,0.0,998.0,47.0,2248.0,0.6826601882781658
0.0,7.0,9.0,1.0,1.0,23.0,25.0,1.0,1.0,32.0,0.0,996.0,49.0,2248.0,0.6826601882781658
0.0,6.0,7.0,11.0,12.0,21.0,3.0,32.0,4.0,4.0,0.0,1025.0,21.0,2247.0,0.682356513817188
0.0,1.0,11.0,2.0,3.0,24.0,6.0,8.0,37.0,8.0,0.0,1015.0,31.0,2247.0,0.682356513817188
0.0,0.0,1.0,13.0,1.0,2.0,27.0,26.0,23.0,7.0,0.0,1019.0,28.0,2246.0,0.6820528393562102
0.0,0.0,10.0,13.0,21.0,24.0,3.0,1.0,2.0,26.0,0.0,1018.0,30.0,2245.0,0.6817491648952323
0.0,0.0,0.0,0.0,18.0,22.0,26.0,0.0,0.0,34.0,0.0,1024.0,25.0,2244.0,0.6814454904342545
0.0,0.0,0.0,0.0,17.0,21.0,29.0,0.0,0.0,33.0,0.0,1032.0,18.0,2243.0,0.6811418159732766
7.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,32.0,26.0,0.0,1019.0,32.0,2242.0,0.6808381415122988
0.0,2.0,3.0,3.0,15.0,21.0,3.0,21.0,5.0,27.0,0.0,1001.0,50.0,2242.0,0.6808381415122988
0.0,0.0,10.0,0.0,0.0,20.0,0.0,0.0,35.0,35.0,0.0,1028.0,23.0,2242.0,0.6808381415122988
0.0,6.0,0.0,0.0,0.0,0.0,0.0,33.0,33.0,28.0,0.0,1009.0,43.0,2241.0,0.680534467051321
0.0,9.0,13.0,14.0,0.0,0.0,0.0,0.0,33.0,31.0,0.0,1039.0,14.0,2240.0,0.6802307925903431
6.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,33.0,33.0,0.0,991.0,63.0,2239.0,0.6799271181293653
1.0,1.0,2.0,18.0,19.0,2.0,4.0,3.0,30.0,20.0,1.0,1010.0,45.0,2238.0,0.6796234436683875
1.0,2.0,3.0,17.0,14.0,4.0,3.0,2.0,21.0,33.0,1.0,1019.0,39.0,2235.0,0.678712420285454
0.0,0.0,2.0,9.0,15.0,6.0,5.0,6.0,35.0,22.0,0.0,1002.0,57.0,2234.0,0.6784087458244762
0.0,2.0,3.0,3.0,12.0,22.0,3.0,26.0,21.0,8.0,0.0,1002.0,60.0,2231.0,0.6774977224415427
5.0,5.0,7.0,9.0,12.0,22.0,26.0,2.0,6.0,6.0,2.0,1026.0,36.0,2231.0,0.6774977224415427
